facility_id,facility_name,city,zip,inspection_date,n_violations,n_critical,n_categories,has_temperature,has_handwashing,has_pests,has_sourcing,has_permit,prior_visits,prior_viol_sum,prior_crit_sum,prior_viol_avg,days_since_last,month,dow,is_summer,tmax,tmin,tavg,prcp,target_critical
FA0000046,PEACH & PINE,SAINT JAMES,11780.0,2024-10-07 13:31:00,2,1,2,0,0,0,0,1,0,0,0,0.0,-1.0,10,0,0,76.0,56.0,66.0,0.12,0
FA0000046,PEACH & PINE,SAINT JAMES,11780.0,2025-11-07 16:28:00,5,4,3,1,1,0,0,1,1,2,1,2.0,396.0,11,4,0,,,,,0
FA0000049,CHIPOTLE MEXICAN GRILL #2765,HAUPPAUGE,11788.0,2024-02-06 20:52:00,3,3,3,1,1,0,0,1,0,0,0,0.0,-1.0,2,1,0,40.0,25.0,32.5,0.0,0
FA0000049,CHIPOTLE MEXICAN GRILL #2765,HAUPPAUGE,11788.0,2025-01-23 20:11:00,3,2,2,0,1,0,0,0,1,3,3,3.0,351.0,1,3,0,,,,,0
FA0000056,SUBURBAN EATS,MELVILLE,11747.0,2025-01-21 20:42:00,11,8,4,1,1,0,0,1,0,0,0,0.0,-1.0,1,1,0,,,,,0
FA0000057,FLOUR SHOPPE CAFE,BAY SHORE,11706.0,2024-01-04 16:33:00,22,15,5,1,1,0,0,1,0,0,0,0.0,-1.0,1,3,0,44.0,29.0,36.5,0.0,1
FA0000058,SPLISH SPLASH DIP-N-DOTS #1,CALVERTON,11933.0,2024-07-19 19:42:00,1,1,1,0,1,0,0,0,0,0,0,0.0,-1.0,7,4,1,83.0,66.0,74.5,0.0,0
FA0000059,ARLO,NORTHPORT,11768.0,2024-08-17 22:28:00,26,15,6,1,1,0,0,1,0,0,0,0.0,-1.0,8,5,1,78.0,66.0,72.0,0.0,1
FA0000060,DEL FUEGO,BABYLON,11702.0,2024-09-09 19:21:00,21,12,5,1,1,0,0,1,0,0,0,0.0,-1.0,9,0,0,76.0,49.0,62.5,0.0,1
FA0000060,DEL FUEGO,BABYLON,11702.0,2025-10-23 20:37:00,15,8,5,1,1,0,0,1,1,21,12,21.0,409.0,10,3,0,,,,,0
FA0000061,THE MELTING POT,FARMINGDALE,11735.0,2025-02-19 22:08:00,8,5,3,0,1,0,0,1,0,0,0,0.0,-1.0,2,2,0,,,,,0
FA0000062,MIKO JAPANESE,EAST NORTHPORT,11731.0,2024-02-27 21:14:00,31,16,6,1,1,0,0,1,0,0,0,0.0,-1.0,2,1,0,54.0,31.0,42.5,0.62,1
FA0000063,STORYVILLE/FINLEY'S,HUNTINGTON,11743.0,2024-09-13 23:00:00,27,17,5,1,1,0,0,1,0,0,0,0.0,-1.0,9,4,0,80.0,53.0,66.5,0.0,1
FA0000063,MIGHTY FINE,HUNTINGTON,11743.0,2025-12-05 20:59:00,13,5,4,1,0,0,0,1,1,27,17,27.0,447.0,12,4,0,,,,,0
FA0000067,FRONT STREET STATION,GREENPORT,11944.0,2024-03-28 17:48:00,14,9,5,1,1,0,0,1,0,0,0,0.0,-1.0,3,3,0,51.0,42.0,46.5,1.57,0
FA0000067,FRONT STREET STATION,GREENPORT,11944.0,2025-11-20 20:30:00,16,9,4,1,0,0,0,1,1,14,9,14.0,602.0,11,3,0,,,,,0
FA0000068,MAVERICKS MONTAUK,MONTAUK,11954.0,2024-08-28 21:58:00,16,12,5,1,1,0,0,1,0,0,0,0.0,-1.0,8,2,1,91.0,72.0,81.5,0.0,0
FA0000068,MAVERICKS MONTAUK,MONTAUK,11954.0,2025-07-29 22:07:00,19,9,5,1,1,0,0,1,1,16,12,16.0,335.0,7,1,1,,,,,1
FA0000069,TBAR SOUTHAMPTON,SOUTHAMPTON,11968.0,2024-08-21 16:27:00,31,13,7,1,1,0,0,1,0,0,0,0.0,-1.0,8,2,1,75.0,53.0,64.0,0.0,1
FA0000069,TBAR SOUTHAMPTON,SOUTHAMPTON,11968.0,2025-07-31 23:30:00,20,8,5,1,1,0,0,1,1,31,13,31.0,344.0,7,3,1,,,,,1
FA0000070,JAMESPORT MANOR INN,JAMESPORT,11947.0,2024-04-19 21:07:00,18,10,5,1,1,0,0,1,0,0,0,0.0,-1.0,4,4,0,54.0,45.0,49.5,0.0,1
FA0000070,18 BAY,JAMESPORT,11947.0,2025-12-05 22:50:00,19,15,5,1,1,0,0,1,1,18,10,18.0,595.0,12,4,0,,,,,1
FA0000071,THE FRISKY OYSTER,GREENPORT,11944.0,2025-10-29 22:00:00,11,4,5,1,1,0,0,1,0,0,0,0.0,-1.0,10,2,0,,,,,0
FA0000072,FROGZZ BAR N GRILL,YAPHANK,11980.0,2025-03-21 17:18:00,15,6,5,1,1,0,0,1,0,0,0,0.0,-1.0,3,4,0,,,,,0
FA0000072,FROGZZ BAR N GRILL,YAPHANK,11980.0,2025-06-26 18:34:00,9,5,4,1,1,0,0,1,1,15,6,15.0,97.0,6,3,1,,,,,0
FA0000079,LAS LAJAS DELI,HUNTINGTON STATION,11746.0,2024-10-02 04:00:00,21,8,5,1,1,0,0,1,0,0,0,0.0,-1.0,10,2,0,69.0,50.0,59.5,0.0,1
