facility,address,date,violations,total_critical_violations,total_crit_not_corrected,total_noncritical_violations,description,local_health_department,county,facility_address,city,zip_code,nysdoh_gazetteer_1980,municipality,operation_name,permit_expiration_date,permitted_d_b_a,permitted_corp_name,perm_operator_last_name,perm_operator_first_name,nys_health_operation_id,inspection_type,inspection_comments,food_service_facility_state,location1
COUNTRY PLAZA DELI & CATERERS,"105 FOREST  AVENUE,  LOCUST VALLEY",2026-03-11,"Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;",0.0,0.0,3.0,Food Service Establishment - Delicatessen,Nassau  County,NASSAU,105 FOREST  AVENUE,LOCUST VALLEY,11560,295208,OYSTER BAY,COUNTRY PLAZA DELI & CATERERS,2027-04-30T00:00:00.000,COUNTRY PLAZA DELI & CATERERS,FLAMINGO INDUSTRIES INC,,,573298,Inspection,Food Managers DC expires November 2028. Certificate# 45178,NY,"(40.875624, -73.598454)"
BENIHANA,"920 MERCHANTS CONCOURSE,  WESTBURY",2025-02-21,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,920 MERCHANTS CONCOURSE,WESTBURY,11590,291400,N. HEMPSTEAD,BENIHANA,2027-02-28T00:00:00.000,BENIHANA,BENIHANA WESTBURY CORP,,,571096,Re-Inspection,No violations noted during revisit.,NY,"(40.743774, -73.592048)"
MCDONALD'S,"655 FULTON  STREET,  FARMINGDALE",2025-11-03,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,655 FULTON  STREET,FARMINGDALE,11735,292700,OYSTER BAY,MCDONALD'S,2027-02-28T00:00:00.000,MCDONALDS,F FOOD CORP,,,573430,Inspection,Score 0/0 “A”|Permit expires Feb 28 2026 |Seat count 76,NY,"(40.72802, -73.446056)"
JO JO APPLES CAFE,"85 LIDO  BOULEVARD,  POINT LOOKOUT",2025-04-29,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,85 LIDO  BOULEVARD,POINT LOOKOUT,11569,295041,HEMPSTEAD,JO JO APPLES CAFE,2027-03-31T00:00:00.000,JOJO APPLES,85 LIDO BOULEVARD CORP,,,570253,Re-Inspection,All violations corrected,NY,"(40.59209, -73.58336)"
GINO'S,"187A  NORTH LONG BEACH  ROAD,  ROCKVILLE CENTRE",2025-10-27,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 14C-   Pesticide application not supervised by a certified applicator;",0.0,0.0,3.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,187A  NORTH LONG BEACH  ROAD,ROCKVILLE CENTRE,11570,290900,HEMPSTEAD,GINO'S,2026-09-30T00:00:00.000,GINO'S,ROCKVILLE CENTRE PIZZA CORP,,,578116,Inspection,RD - fmtc exp. Jan 2026 no.  45052|RR - fmtc exp. Jan 2026 no.  43684|84 seats|Grade A|Permit expires Sept 2026|TPHC waiver discussed with operator|Shellfish tags noted on site,NY,"(40.660454, -73.629312)"
AFGHAN GRILL,"1629 HILLSIDE  AVENUE,  NEW HYDE PARK",2025-01-17,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;",0.0,0.0,6.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1629 HILLSIDE  AVENUE,NEW HYDE PARK,110402603,291200,HEMPSTEAD,AFGHAN GRILL,2027-01-31T00:00:00.000,AFGAN GRILL,O.T. FOOD CORPORATION,,,575936,Inspection,"Permit exp January 31, 2026|Food manager certification NS #9798027 exp December 31, 2026",NY,"(40.7486, -73.684709)"
CIPOLLINI,"2110 NORTHERN  BOULEVARD,  MANHASSET",2025-03-13,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,2110 NORTHERN  BOULEVARD,MANHASSET,11030,295109,N. HEMPSTEAD,CIPOLLINI,2027-02-28T00:00:00.000,,MIRACLE MILE RESTAURANT LLC,,,576835,Re-Inspection,No repeat violations noted at time of visit. |3-compartment sink noted at 140ºF+,NY,"(40.796147, -73.672938)"
LOLA,"113 MIDDLE NECK ROAD,  GREAT NECK",2025-02-10,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,113 MIDDLE NECK ROAD,GREAT NECK,11021,295106,N. HEMPSTEAD,LOLA,2026-08-31T00:00:00.000,,DALIA 18 LLC,"GINOR, PRESIDENT",AEYAL,714867,Re-Inspection,Facility is currently not using the small garbage walk-in  for food service.,NY,"(40.78925, -73.729769)"
PIZZATINI,"185 HENRY STREET,  HEMPSTEAD",2025-04-17,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,185 HENRY STREET,HEMPSTEAD,11550,290600,HEMPSTEAD,PIZZATINI,2026-11-30T00:00:00.000,,41 JER LLC,,,721798,Re-Inspection,No violations noted.,NY,"(40.701613, -73.615437)"
LIFE CAFE @ LIFE TIME ATHLETIC,"350 ROBBINS LANE,  SYOSSET",2025-09-18,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,3.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,350 ROBBINS LANE,SYOSSET,11791,295216,OYSTER BAY,LIFE CAFE @ LIFE TIME ATHLETIC,2026-05-31T00:00:00.000,,"LTF CLUB OPERATIONS COMPANY, INC.",,,755664,Re-Inspection,,NY,"(40.797374, -73.515095)"
