"STATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00054790","2023-01-01","7.61","0.05",,"55","36"
"USW00054790","2023-01-02","2.68","0.00",,"53","35"
"USW00054790","2023-01-03","7.16","0.32",,"55","45"
"USW00054790","2023-01-04","5.82","0.13",,"62","49"
"USW00054790","2023-01-05","3.13","0.02",,"52","43"
"USW00054790","2023-01-06","2.01","0.15",,"46","40"
"USW00054790","2023-01-07","5.37","0.01",,"45","31"
"USW00054790","2023-01-08","4.70","0.00",,"40","28"
"USW00054790","2023-01-09","4.70","0.00",,"44","28"
"USW00054790","2023-01-10","4.25","0.00",,"43","26"
"USW00054790","2023-01-11","3.13","0.00",,"40","31"
"USW00054790","2023-01-12","8.72","0.38",,"57","36"
"USW00054790","2023-01-13","14.32","0.19",,"57","39"
"USW00054790","2023-01-14","16.78","0.00",,"39","32"
"USW00054790","2023-01-15","16.78","0.00",,"42","31"
"USW00054790","2023-01-16","13.65","0.00",,"42","29"
"USW00054790","2023-01-17","5.37","0.00",,"45","27"
"USW00054790","2023-01-18","10.51","0.00",,"54","40"
"USW00054790","2023-01-19","4.92","0.90",,"50","33"
"USW00054790","2023-01-20","9.40","0.00",,"49","38"
"USW00054790","2023-01-21","6.04","0.00",,"41","34"
"USW00054790","2023-01-22","1.57","0.53",,"41","34"
"USW00054790","2023-01-23","10.74","0.53",,"42","34"
"USW00054790","2023-01-24","11.63","0.00",,"46","33"
"USW00054790","2023-01-25","6.49","1.08",,"57","27"
"USW00054790","2023-01-26","14.76","0.43",,"56","40"
"USW00054790","2023-01-27","4.25","0.00",,"45","28"
"USW00054790","2023-01-28","7.61","0.00",,"52","26"
"USW00054790","2023-01-29","7.61","0.00",,"51","30"
"USW00054790","2023-01-30","4.03","0.00",,"54","35"
"USW00054790","2023-01-31","6.93","0.03",,"44","31"
"USW00054790","2023-02-01","5.14","0.01",,"36","25"
"USW00054790","2023-02-02","5.59","0.00",,"39","19"
"USW00054790","2023-02-03","20.13","0.00",,"35","7"
"USW00054790","2023-02-04","10.29","0.00",,"30","1"
